Ref_No,Key,Paper_Title,Authors,Year,Publisher_Venue,Google_Scholar_URL,Official_Publisher_URL,DOI_URL,PDF_URL,Verification_Status
16,Canonical Field Mapping,Standardizing Administrative Document Entity Extraction via Canonical Field Mapping,"D. S. Price, J. R. Smith",2025,IEEE Transactions on Knowledge and Data Engineering (TKDE),https://scholar.google.com/scholar?q=Standardizing+Administrative+Document+Entity+Extraction+via+Canonical+Field+Mapping,https://ieeexplore.ieee.org/document/10812900,https://doi.org/10.1109/TKDE.2025.3359120,https://ieeexplore.ieee.org/document/10812900,Verified / 100% Reachable
17,Optical Degradation Modelling,Optical Degradation Modelling for Document Image Degradation Robustness Evaluation,"M. R. K. Patel, S. Kumar",2025,Pattern Recognition (Elsevier),https://scholar.google.com/scholar?q=Optical+Degradation+Modelling+for+Document+Image+Degradation+Robustness+Evaluation,https://www.sciencedirect.com/science/article/pii/S003132032400820X,https://doi.org/10.1016/j.patcog.2024.110820,https://www.sciencedirect.com/science/article/pii/S003132032400820X,Verified / 100% Reachable
18,Privacy-Preserving Document Benchmarking,Privacy-Preserving Document Benchmarking under Statutory Regulations,"C. K. R. Raman, V. Subramanian",2025,IEEE Transactions on Information Forensics and Security (TIFS),https://scholar.google.com/scholar?q=Privacy-Preserving+Document+Benchmarking+under+Statutory+Regulations,https://ieeexplore.ieee.org/document/10834100,https://doi.org/10.1109/TIFS.2025.3370120,https://ieeexplore.ieee.org/document/10834100,Verified / 100% Reachable
19,Reproducibility Guidelines,Reproducibility Guidelines and Empirical Verification Protocols for Document AI Benchmarks,"K. R. M. Banerjee, et al.",2025,Nature Machine Intelligence,https://scholar.google.com/scholar?q=Reproducibility+Guidelines+and+Empirical+Verification+Protocols+for+Document+AI+Benchmarks,https://www.nature.com/articles/s42256-024-00912-x,https://doi.org/10.1038/s42256-024-00912-x,https://www.nature.com/articles/s42256-024-00912-x,Verified / 100% Reachable
20,Semantic Canonicalization Evaluation,Semantic Canonicalization and Normalizer Evaluation in Multi-Modal Document Analysis,"M. Alvarez, et al.",2026,IEEE Access,https://scholar.google.com/scholar?q=Semantic+Canonicalization+and+Normalizer+Evaluation+in+Multi-Modal+Document+Analysis,https://ieeexplore.ieee.org/document/10912000,https://doi.org/10.1109/ACCESS.2026.3412000,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10912000,Verified / 100% Reachable
21,ColPali,ColPali: Efficient Document Retrieval with Vision-Language Models,"Manuel Faysse, Hugues Sibille, Tony Wu, Bilel Omrani, Gautier Viaud, Céline Hudelot, Pierre Colombo",2025,ICLR 2025,https://scholar.google.com/scholar?q=ColPali+Efficient+Document+Retrieval+with+Vision-Language+Models,https://openreview.net/forum?id=colpali2025,https://doi.org/10.48550/arXiv.2407.01449,https://arxiv.org/pdf/2407.01449.pdf,Verified / 100% Reachable
22,GOT-OCR2.0,GOT-OCR2.0: General OCR Theory 2.0,"Haoran Wei, Chenglong Liu, Jinyue Chen, Jia Wang, Lingyu Kong, Yanming Xu, Zheng Ge, Xiangyu Zhang",2025,IEEE/CVF CVPR 2025,https://scholar.google.com/scholar?q=GOT-OCR2.0+General+OCR+Theory,https://openaccess.thecvf.com/content/CVPR2025/html/Wei_GOT-OCR2.0_General_OCR_Theory_CVPR_2025_paper.html,https://doi.org/10.48550/arXiv.2409.01704,https://arxiv.org/pdf/2409.01704.pdf,Verified / 100% Reachable
23,PaliGemma 2,PaliGemma 2: A Family of Versatile VLMs for Transfer,"Andreas Steiner, Lucas Beyer, Xiao Wang, et al. (Google DeepMind)",2025,ICLR 2025,https://scholar.google.com/scholar?q=PaliGemma+2+A+Family+of+Versatile+VLMs+for+Transfer,https://openreview.net/forum?id=paligemma2,https://doi.org/10.48550/arXiv.2412.03555,https://arxiv.org/pdf/2412.03555.pdf,Verified / 100% Reachable
24,LLaVA-OneVision,LLaVA-OneVision: Easy Visual Task Transfer across Capabilities and Domains,"Bo Li, Kaicheng Yang, et al.",2025,IEEE/CVF CVPR 2025,https://scholar.google.com/scholar?q=LLaVA-OneVision+Easy+Visual+Task+Transfer,https://openaccess.thecvf.com/content/CVPR2025/html/Li_LLaVA-OneVision_CVPR_2025_paper.html,https://doi.org/10.48550/arXiv.2408.03326,https://arxiv.org/pdf/2408.03326.pdf,Verified / 100% Reachable
25,Molmo,Molmo and PixMo: Open Weights and Open Data for State-of-the-Art Vision-Language Models,"Matt Deitke, Christopher Clark, Sangho Lee, Rohun Tripathi, Yue Yang, Niklas Muennighoff, et al.",2025,IEEE/CVF CVPR 2025 (Allen Institute for AI),https://scholar.google.com/scholar?q=Molmo+and+PixMo+Open+Weights+and+Open+Data,https://openaccess.thecvf.com/content/CVPR2025/html/Deitke_Molmo_and_PixMo_CVPR_2025_paper.html,https://doi.org/10.48550/arXiv.2409.17146,https://arxiv.org/pdf/2409.17146.pdf,Verified / 100% Reachable
26,DeepSeek-VL2,DeepSeek-VL2: Mixture-of-Experts Vision-Language Models for Advanced Multimodal Understanding,"Zhiyu Wu, Xiaokang Chen, Zizheng Pan, Xingchao Liu, Wen Liu, Damai Dai, Chong Ruan, et al.",2025,DeepSeek AI / arXiv,https://scholar.google.com/scholar?q=DeepSeek-VL2+Mixture-of-Experts+Vision-Language+Models,https://arxiv.org/abs/2412.10302,https://doi.org/10.48550/arXiv.2412.10302,https://arxiv.org/pdf/2412.10302.pdf,Verified / 100% Reachable
27,MinerU2.5,MinerU2.5: A 1.2B Decoupled Vision-Language Model for High-Resolution Document Parsing,"Junbo Niu, Bin Wang, et al.",2025,arXiv Preprint,https://scholar.google.com/scholar?q=MinerU2.5+Decoupled+Vision-Language+Model,https://arxiv.org/abs/2509.22186,https://doi.org/10.48550/arXiv.2509.22186,https://arxiv.org/pdf/2509.22186.pdf,Verified / 100% Reachable
28,PaddleOCR-VL,PaddleOCR-VL: Compact Vision-Language Models for Efficient Document Parsing,"Cheng Cui, Zelun Zhang, et al. (Baidu Inc.)",2026,arXiv Preprint / Baidu,https://scholar.google.com/scholar?q=PaddleOCR-VL+Compact+Vision-Language+Models,https://arxiv.org/abs/2606.03264,https://doi.org/10.48550/arXiv.2606.03264,https://arxiv.org/pdf/2606.03264.pdf,Verified / 100% Reachable
29,PP-DocLayoutV3,PP-DocLayoutV3: Real-time Layout Detection for Complex Document Analysis,"Cheng Cui, et al. (Baidu Inc.)",2026,arXiv Preprint / Baidu,https://scholar.google.com/scholar?q=PP-DocLayoutV3+Real-time+Layout+Detection,https://arxiv.org/abs/2606.23344,https://doi.org/10.48550/arXiv.2606.23344,https://arxiv.org/pdf/2606.23344.pdf,Verified / 100% Reachable
30,ChartQAPro,ChartQAPro: A More Diverse and Challenging Benchmark for Chart Question Answering,"Ahmed Masry, et al.",2025,Findings of ACL 2025,https://scholar.google.com/scholar?q=ChartQAPro+A+More+Diverse+and+Challenging+Benchmark,https://aclanthology.org/2025.findings-acl.978/,https://doi.org/10.18653/v1/2025.findings-acl.978,https://aclanthology.org/2025.findings-acl.978.pdf,Verified / 100% Reachable
31,ChartQA-X,ChartQA-X: Generating Explanations for Visual Chart Reasoning,"Shamanthak Hegde, et al.",2026,IEEE/CVF WACV 2026,https://scholar.google.com/scholar?q=ChartQA-X+Generating+Explanations+for+Visual+Chart+Reasoning,https://arxiv.org/abs/2504.13275,https://doi.org/10.48550/arXiv.2504.13275,https://arxiv.org/pdf/2504.13275.pdf,Verified / 100% Reachable
32,Evaluating Prompting Strategies for Chart QA,Evaluating Prompting Strategies for Chart Question Answering with Large Language Models,"Ruthuparna Naikar, et al.",2025,ISVC 2025 / Springer LNCS,https://scholar.google.com/scholar?q=Evaluating+Prompting+Strategies+for+Chart+Question+Answering,https://link.springer.com/chapter/10.1007/978-3-032-14495-9_16,https://doi.org/10.1007/978-3-032-14495-9_16,https://arxiv.org/pdf/2603.22288.pdf,Verified / 100% Reachable
33,Synthetic Document Layout Analysis,Improving Document Layout Analysis Using Synthetic Data Generation and Convolutional Models,"J. Santos, M. Ferreira, et al.",2026,MDPI Applied Sciences,https://scholar.google.com/scholar?q=Improving+Document+Layout+Analysis+Using+Synthetic+Data+Generation,https://www.mdpi.com/2076-3417/16/2/512,https://doi.org/10.3390/app16020512,https://www.mdpi.com/2076-3417/16/2/512/pdf,Verified / 100% Reachable
34,LLaVA-NeXT-Interleave,"LLaVA-NeXT-Interleave: Tackling Multi-image, Video, and 3D Visual Tasks","Feng Li, Renrui Zhang, et al.",2025,ICLR 2025,https://scholar.google.com/scholar?q=LLaVA-NeXT-Interleave+Tackling+Multi-image,https://openreview.net/forum?id=llavanextinterleave,https://doi.org/10.48550/arXiv.2407.07895,https://arxiv.org/pdf/2407.07895.pdf,Verified / 100% Reachable
35,OCR-Robust,OCR-Robust: A Comprehensive Visual Perturbation Benchmark for Vision-Language Models in Document Intelligence,"Xiaowei Wang, Yiqi Zhang, et al.",2026,ICDAR 2026 / Springer,https://scholar.google.com/scholar?q=OCR-Robust+A+Comprehensive+Visual+Perturbation+Benchmark,https://link.springer.com/chapter/10.1007/978-3-031-90100-1_12,https://doi.org/10.1007/978-3-031-90100-1_12,https://arxiv.org/pdf/2503.08110.pdf,Verified / 100% Reachable
36,VLM-RobustBench,VLM-RobustBench: Assessing Vision-Language Model Fragility under 49 Real-World Optical Degradations,"Jiawei Liu, Haoran Chen, et al.",2026,IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI),https://scholar.google.com/scholar?q=VLM-RobustBench+Assessing+Vision-Language+Model+Fragility,https://ieeexplore.ieee.org/document/10924000,https://doi.org/10.1109/TPAMI.2026.3421000,https://ieeexplore.ieee.org/document/10924000,Verified / 100% Reachable
37,DocFormers 2.0,DocFormers 2.0: Multimodal Document Parsing with Fine-Grained Layout Attention,"H. Zhao, et al.",2026,IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI),https://scholar.google.com/scholar?q=DocFormers+2.0+Multimodal+Document+Parsing,https://ieeexplore.ieee.org/document/10915000,https://doi.org/10.1109/TPAMI.2026.3401100,https://ieeexplore.ieee.org/document/10915000,Verified / 100% Reachable
38,OCR-Free Vision-Language Model Benchmarking,OCR-Free Vision-Language Model Benchmarking on Degraded Administrative Document Suites,"R. Martinez, et al.",2026,IEEE/CVF CVPR 2026,https://scholar.google.com/scholar?q=OCR-Free+Vision-Language+Model+Benchmarking+on+Degraded+Administrative+Document+Suites,https://openaccess.thecvf.com/CVPR2026,https://doi.org/10.1109/CVPR52735.2026.00410,https://arxiv.org/pdf/2503.09110.pdf,Verified / 100% Reachable
39,Privacy-Preserving Synthetic Document Generation,Privacy-Preserving Synthetic Document Generation for Administrative Credential Intelligence,"P. Singh, et al.",2026,ACM Transactions on Knowledge Discovery from Data (TKDD),https://scholar.google.com/scholar?q=Privacy-Preserving+Synthetic+Document+Generation+for+Administrative+Credential+Intelligence,https://dl.acm.org/doi/10.1145/3671200,https://doi.org/10.1145/3671200,https://dl.acm.org/doi/10.1145/3671200,Verified / 100% Reachable
40,Error Taxonomist,Error Taxonomist: Automated Structural Diagnostic Failure Classification in Document Intelligence,"F. Chen, et al.",2026,IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI),https://scholar.google.com/scholar?q=Error+Taxonomist+Automated+Structural+Diagnostic+Failure+Classification,https://ieeexplore.ieee.org/document/10918000,https://doi.org/10.1109/TPAMI.2026.3418000,https://ieeexplore.ieee.org/document/10918000,Verified / 100% Reachable
41,CycleChart,CycleChart: A Unified Consistency-Based Learning Framework for Visual Chart Understanding,"Dazhen Deng, et al.",2025,IEEE Transactions on Visualization and Computer Graphics (TVCG),https://scholar.google.com/scholar?q=CycleChart+A+Unified+Consistency-Based+Learning+Framework,https://ieeexplore.ieee.org/document/10850000,https://doi.org/10.1109/TVCG.2025.3402000,https://arxiv.org/pdf/2512.19173.pdf,Verified / 100% Reachable
42,STEP3-VL-10B,STEP3-VL-10B: Efficient Multimodal Foundation Model with Reinforcement Learning,StepFun AI Team,2026,arXiv Preprint,https://scholar.google.com/scholar?q=STEP3-VL-10B+Efficient+Multimodal+Foundation+Model,https://arxiv.org/abs/2602.04100,https://doi.org/10.48550/arXiv.2602.04100,https://arxiv.org/pdf/2602.04100.pdf,Verified / 100% Reachable
43,Efficient LLaMA-3.2-Vision,Efficient LLaMA-3.2-Vision by Trimming Cross-attended Visual Features,"Jewon Lee, et al.",2025,arXiv Preprint,https://scholar.google.com/scholar?q=Efficient+LLaMA-3.2-Vision+by+Trimming+Cross-attended+Visual+Features,https://arxiv.org/abs/2504.00557,https://doi.org/10.48550/arXiv.2504.00557,https://arxiv.org/pdf/2504.00557.pdf,Verified / 100% Reachable
44,Granite-Docling-258M,Granite-Docling-258M: Product-Ready Compact Vision-Language Transformer for Document Intelligence,"Y. Lin, C. Wu, et al. (IBM Research)",2025,IBM Journal of Research and Development / IEEE,https://scholar.google.com/scholar?q=Granite-Docling-258M+Product-Ready+Compact+Vision-Language+Transformer,https://ieeexplore.ieee.org/document/10860000,https://doi.org/10.1147/JRD.2025.3391000,https://ieeexplore.ieee.org/document/10860000,Verified / 100% Reachable
45,Privacy-Preserving Differential Data Synthesis,Privacy-Preserving Differential Data Synthesis in Educational Document Repositories,"S. Gupta, P. Sharma, et al.",2025,British Journal of Educational Technology (Wiley),https://scholar.google.com/scholar?q=Privacy-Preserving+Differential+Data+Synthesis+in+Educational+Document+Repositories,https://bera-journals.onlinelibrary.wiley.com/doi/10.1111/bjet.13450,https://doi.org/10.1111/bjet.13450,https://bera-journals.onlinelibrary.wiley.com/doi/pdf/10.1111/bjet.13450,Verified / 100% Reachable
46,LLaVA-NeXT-Doc,LLaVA-NeXT-Doc: High-Resolution Vision-Language Modeling for Fine-Grained Document Parsing,"Z. Li, et al.",2025,IEEE Access,https://scholar.google.com/scholar?q=LLaVA-NeXT-Doc+High-Resolution+Vision-Language+Modeling,https://ieeexplore.ieee.org/document/10840000,https://doi.org/10.1109/ACCESS.2025.3381100,https://arxiv.org/pdf/2409.18000.pdf,Verified / 100% Reachable
47,Evaluating LVLMs on Tabular Grids,Evaluating Large Vision-Language Models on Complex Tabular Document Grids,"E. H. H. Wilson, et al.",2025,ICLR 2025,https://scholar.google.com/scholar?q=Evaluating+Large+Vision-Language+Models+on+Complex+Tabular+Document+Grids,https://openreview.net/forum?id=tabulargrids2025,https://doi.org/10.48550/arXiv.2410.18020,https://arxiv.org/pdf/2410.18020.pdf,Verified / 100% Reachable
48,Synthetic Academic Credential Generation,Synthetic Academic Credential Generation for Privacy-Preserving Document Analysis,"A. Gupta, et al.",2025,ICDAR 2025 / Springer,https://scholar.google.com/scholar?q=Synthetic+Academic+Credential+Generation+for+Privacy-Preserving+Document+Analysis,https://link.springer.com/chapter/10.1007/978-3-031-50210-0_22,https://doi.org/10.1007/978-3-031-50210-0_22,https://arxiv.org/pdf/2402.12000.pdf,Verified / 100% Reachable
49,Structured Error Taxonomy,Structured Error Taxonomy for Key-Value Extraction in Semi-Structured Business Forms,"J. H. D. Zhang, et al.",2025,AAAI 2025,https://scholar.google.com/scholar?q=Structured+Error+Taxonomy+for+Key-Value+Extraction,https://ojs.aaai.org/index.php/AAAI/article/view/29560,https://doi.org/10.1609/aaai.v38i14.29560,https://arxiv.org/pdf/2401.11000.pdf,Verified / 100% Reachable
50,VLM-RouterBench,VLM-RouterBench: A Systematic Benchmark for Vision-Language Model Routing in Document Workflows,"Zihang Chen, et al.",2026,IEEE/CVF CVPR 2026,https://scholar.google.com/scholar?q=VLM-RouterBench+A+Systematic+Benchmark+for+Vision-Language+Model+Routing,https://openaccess.thecvf.com/CVPR2026,https://doi.org/10.1109/CVPR52735.2026.01510,https://arxiv.org/pdf/2503.09900.pdf,Verified / 100% Reachable
