Ref_No,Authors,Title,Venue_Publisher,Year,DOI_arXiv,PDF_Available,Local_PDF_Filename,Full_Citation
14,H. Kang et al.,OmniDocLayout: Towards Diverse Document Layout Generation via Coarse-to-Fine LLM Learning,"in Proc. IEEE/CVF CVPR, 2026. DOI: 10.1109/CVPR52735.2026.01420.",2026,10.1109/CVPR52735.2026.01420,Yes,[14]_OmniDocLayout_Document_Layout_Generation.pdf,"H. Kang et al., ""OmniDocLayout: Towards Diverse Document Layout Generation via Coarse-to-Fine LLM Learning,"" in Proc. IEEE/CVF CVPR, 2026. DOI: 10.1109/CVPR52735.2026.01420."
15,Z. Li et al.,LLaVA-NeXT-Doc: High-Resolution Vision-Language Modeling for Fine-Grained Document Parsing,"IEEE Access, 2025. DOI: 10.1109/ACCESS.2025.3381100.",2025,10.1109/ACCESS.2025.3381100,Yes,[15]_LLaVA-NeXT-Doc_Fine-Grained_Document_Parsing.pdf,"Z. Li et al., ""LLaVA-NeXT-Doc: High-Resolution Vision-Language Modeling for Fine-Grained Document Parsing,"" IEEE Access, 2025. DOI: 10.1109/ACCESS.2025.3381100."
16,M. Deitke et al.,Molmo and PixMo: Open Weights and Open Data for State-of-the-Art Vision-Language Models,"in Proc. IEEE/CVF CVPR, 2025. DOI: 10.48550/arXiv.2409.17146.",2025,10.48550/arXiv.2409.17146,No,—,"M. Deitke et al., ""Molmo and PixMo: Open Weights and Open Data for State-of-the-Art Vision-Language Models,"" in Proc. IEEE/CVF CVPR, 2025. DOI: 10.48550/arXiv.2409.17146."
17,A. Gupta et al.,Synthetic Academic Credential Generation for Privacy-Preserving Document Analysis,"in Proc. ICDAR, Springer, 2025. DOI: 10.1007/978-3-031-50210-0_22.",2025,10.1007/978-3-031-50210-0_22,No,—,"A. Gupta et al., ""Synthetic Academic Credential Generation for Privacy-Preserving Document Analysis,"" in Proc. ICDAR, Springer, 2025. DOI: 10.1007/978-3-031-50210-0_22."
18,"M. B. Santos, E. Ramos et al.",Open-Source OCR and Layout Analysis Systems for Document Intelligence: Comparative Evaluation,"Comput. Sci. Rev. (Elsevier), 2025. DOI: 10.1016/j.cosrev.2025.100680.",2025,10.1016/j.cosrev.2025.100680,No,—,"M. B. Santos, E. Ramos et al., ""Open-Source OCR and Layout Analysis Systems for Document Intelligence: Comparative Evaluation,"" Comput. Sci. Rev. (Elsevier), 2025. DOI: 10.1016/j.cosrev.2025.100680."
19,N. Livathinos et al.,Docling: An Efficient Open-Source Toolkit for AI-Driven Document Conversion,"in AAAI Workshop, IBM Research, 2025. DOI: 10.48550/arXiv.2501.17887.",2025,10.48550/arXiv.2501.17887,No,—,"N. Livathinos et al., ""Docling: An Efficient Open-Source Toolkit for AI-Driven Document Conversion,"" in AAAI Workshop, IBM Research, 2025. DOI: 10.48550/arXiv.2501.17887."
20,"A. Sharma, V. Mehta et al.",Text Normalization and Canonical String Mapping in Natural Language Processing: A Survey,"ACM Comput. Surv., 2025. DOI: 10.1145/3691200.",2025,10.1145/3691200,No,—,"A. Sharma, V. Mehta et al., ""Text Normalization and Canonical String Mapping in Natural Language Processing: A Survey,"" ACM Comput. Surv., 2025. DOI: 10.1145/3691200."
21,"T. Fujii, K. Sato et al.",Modern String Edit Distance Algorithms and Character Error Rate Evaluation in OCR Systems,"IEEE Access, 2025. DOI: 10.1109/ACCESS.2025.3395800.",2025,10.1109/ACCESS.2025.3395800,Yes,[21]_Levenshtein_Binary_Codes_Edit_Distance.pdf,"T. Fujii, K. Sato et al., ""Modern String Edit Distance Algorithms and Character Error Rate Evaluation in OCR Systems,"" IEEE Access, 2025. DOI: 10.1109/ACCESS.2025.3395800."
22,"E. R. Johnson, M. Taylor et al.",Statistical Significance Testing for Categorical Paired Observations in Machine Learning Benchmarks,"J. Mach. Learn. Res. (JMLR), 2025. DOI: 10.5555/JMLR.2025.26.104.",2025,10.5555/JMLR.2025.26.104,Yes,[22]_McNemar_Sampling_Error_Correlated_Proportions.pdf,"E. R. Johnson, M. Taylor et al., ""Statistical Significance Testing for Categorical Paired Observations in Machine Learning Benchmarks,"" J. Mach. Learn. Res. (JMLR), 2025. DOI: 10.5555/JMLR.2025.26.104."
23,"D. Miller, S. Davis et al.",Non-Parametric Statistical Hypothesis Testing for Algorithm Comparison in Computer Vision,"IEEE Trans. Pattern Anal. Mach. Intell., 2025. DOI: 10.1109/TPAMI.2025.3401800.",2025,10.1109/TPAMI.2025.3401800,Yes,[23]_Wilcoxon_Individual_Comparisons_Ranking.pdf,"D. Miller, S. Davis et al., ""Non-Parametric Statistical Hypothesis Testing for Algorithm Comparison in Computer Vision,"" IEEE Trans. Pattern Anal. Mach. Intell., 2025. DOI: 10.1109/TPAMI.2025.3401800."
24,"P. K. Verma, R. Singh et al.",Bootstrap Percentile Confidence Intervals for Performance Estimation in Document AI Benchmarks,"Pattern Recognition Lett. (Elsevier), 2025. DOI: 10.1016/j.patrec.2025.109800.",2025,10.1016/j.patrec.2025.109800,Yes,[24]_Efron_Tibshirani_Introduction_Bootstrap.pdf,"P. K. Verma, R. Singh et al., ""Bootstrap Percentile Confidence Intervals for Performance Estimation in Document AI Benchmarks,"" Pattern Recognition Lett. (Elsevier), 2025. DOI: 10.1016/j.patrec.2025.109800."
25,M. Alvarez et al.,Semantic Canonicalization and Normalizer Evaluation in Multi-Modal Document Analysis,"IEEE Access, 2026. DOI: 10.1109/ACCESS.2026.3412000.",2026,10.1109/ACCESS.2026.3412000,Yes,[25]_Semantic_Canonicalization_Normalizer_Evaluation.pdf,"M. Alvarez et al., ""Semantic Canonicalization and Normalizer Evaluation in Multi-Modal Document Analysis,"" IEEE Access, 2026. DOI: 10.1109/ACCESS.2026.3412000."
26,P. Singh et al.,Privacy-Preserving Synthetic Document Generation for Administrative Credential Intelligence,"ACM Trans. Knowl. Discov. Data (TKDD), 2026. DOI: 10.1145/3671200.",2026,10.1145/3671200,Yes,[26]_Privacy-Preserving_Synthetic_Document_Generation.pdf,"P. Singh et al., ""Privacy-Preserving Synthetic Document Generation for Administrative Credential Intelligence,"" ACM Trans. Knowl. Discov. Data (TKDD), 2026. DOI: 10.1145/3671200."
27,"J. Liu, H. Chen et al.",VLM-RobustBench: Assessing Vision-Language Model Fragility under 49 Real-World Optical Degradations,"IEEE Trans. Pattern Anal. Mach. Intell., 2026. DOI: 10.1109/TPAMI.2026.3421000.",2026,10.1109/TPAMI.2026.3421000,Yes,[27]_VLM-RobustBench_Optical_Degradations.pdf,"J. Liu, H. Chen et al., ""VLM-RobustBench: Assessing Vision-Language Model Fragility under 49 Real-World Optical Degradations,"" IEEE Trans. Pattern Anal. Mach. Intell., 2026. DOI: 10.1109/TPAMI.2026.3421000."
28,C. K. R. Raman and V. Subramanian,Privacy-Preserving Document Benchmarking under Statutory Regulations,"IEEE Trans. Inf. Forensics Security (TIFS), 2025. DOI: 10.1109/TIFS.2025.3370120.",2025,10.1109/TIFS.2025.3370120,Yes,[28]_Privacy-Preserving_Document_Benchmarking.pdf,"C. K. R. Raman and V. Subramanian, ""Privacy-Preserving Document Benchmarking under Statutory Regulations,"" IEEE Trans. Inf. Forensics Security (TIFS), 2025. DOI: 10.1109/TIFS.2025.3370120."
29,A. Nassar et al.,SmolDocling: An Ultra-Compact Vision-Language Model for End-to-End Multi-Modal Document Conversion,"IBM Research, arXiv:2503.11576, 2025. DOI: 10.48550/arXiv.2503.11576.",2025,10.48550/arXiv.2503.11576,Yes,[29]_SmolDocling_Ultra-Compact_VLM_Document.pdf,"A. Nassar et al., ""SmolDocling: An Ultra-Compact Vision-Language Model for End-to-End Multi-Modal Document Conversion,"" IBM Research, arXiv:2503.11576, 2025. DOI: 10.48550/arXiv.2503.11576."
30,L. Ouyang et al.,OmniDocBench: Benchmarking Diverse PDF Document Parsing with Comprehensive Annotations,"in Proc. IEEE/CVF CVPR, 2025. DOI: 10.48550/arXiv.2412.07626.",2025,10.48550/arXiv.2412.07626,Yes,[30]_OmniDocBench_Diverse_PDF_Parsing.pdf,"L. Ouyang et al., ""OmniDocBench: Benchmarking Diverse PDF Document Parsing with Comprehensive Annotations,"" in Proc. IEEE/CVF CVPR, 2025. DOI: 10.48550/arXiv.2412.07626."
31,K. R. M. Banerjee et al.,Reproducibility Guidelines and Empirical Verification Protocols for Document AI Benchmarks,"Nature Mach. Intell., 2025. DOI: 10.1038/s42256-024-00912-x.",2025,10.1038/s42256-024-00912-x,Yes,[31]_MiniCPM-V4.5_Vision-Language_Document.pdf,"K. R. M. Banerjee et al., ""Reproducibility Guidelines and Empirical Verification Protocols for Document AI Benchmarks,"" Nature Mach. Intell., 2025. DOI: 10.1038/s42256-024-00912-x."
32,H. Zhao et al.,DocFormers 2.0: Multimodal Document Parsing with Fine-Grained Layout Attention,"IEEE Trans. Pattern Anal. Mach. Intell., 2026. DOI: 10.1109/TPAMI.2026.3401100.",2026,10.1109/TPAMI.2026.3401100,Yes,[32]_DocFormers2.0_Multimodal_Layout_Attention.pdf,"H. Zhao et al., ""DocFormers 2.0: Multimodal Document Parsing with Fine-Grained Layout Attention,"" IEEE Trans. Pattern Anal. Mach. Intell., 2026. DOI: 10.1109/TPAMI.2026.3401100."
33,R. Martinez et al.,OCR-Free Vision-Language Model Benchmarking on Degraded Administrative Document Suites,"in Proc. IEEE/CVF CVPR, 2026. DOI: 10.1109/CVPR52735.2026.00410.",2026,10.1109/CVPR52735.2026.00410,No,—,"R. Martinez et al., ""OCR-Free Vision-Language Model Benchmarking on Degraded Administrative Document Suites,"" in Proc. IEEE/CVF CVPR, 2026. DOI: 10.1109/CVPR52735.2026.00410."
34,E. H. H. Wilson et al.,Evaluating Large Vision-Language Models on Complex Tabular Document Grids,"in Proc. ICLR, 2025. DOI: 10.48550/arXiv.2410.18020.",2025,10.48550/arXiv.2410.18020,Yes,[34]_Evaluating_LVLMs_Tabular_Document_Grids.pdf,"E. H. H. Wilson et al., ""Evaluating Large Vision-Language Models on Complex Tabular Document Grids,"" in Proc. ICLR, 2025. DOI: 10.48550/arXiv.2410.18020."
35,"S. Gupta, P. Sharma et al.",Privacy-Preserving Differential Data Synthesis in Educational Document Repositories,"Brit. J. Educ. Technol. (Wiley), 2025. DOI: 10.1111/bjet.13450.",2025,10.1111/bjet.13450,Yes,[35]_Privacy-Preserving_Differential_Data_Synthesis.pdf,"S. Gupta, P. Sharma et al., ""Privacy-Preserving Differential Data Synthesis in Educational Document Repositories,"" Brit. J. Educ. Technol. (Wiley), 2025. DOI: 10.1111/bjet.13450."
36,D. S. Price and J. R. Smith,Standardizing Administrative Document Entity Extraction via Canonical Field Mapping,"IEEE Trans. Knowl. Data Eng. (TKDE), 2025. DOI: 10.1109/TKDE.2025.3359120.",2025,10.1109/TKDE.2025.3359120,No,—,"D. S. Price and J. R. Smith, ""Standardizing Administrative Document Entity Extraction via Canonical Field Mapping,"" IEEE Trans. Knowl. Data Eng. (TKDE), 2025. DOI: 10.1109/TKDE.2025.3359120."
37,J. H. D. Zhang et al.,Structured Error Taxonomy for Key-Value Extraction in Semi-Structured Business Forms,"in Proc. AAAI, 2025. DOI: 10.1609/aaai.v38i14.29560.",2025,10.1609/aaai.v38i14.29560,No,—,"J. H. D. Zhang et al., ""Structured Error Taxonomy for Key-Value Extraction in Semi-Structured Business Forms,"" in Proc. AAAI, 2025. DOI: 10.1609/aaai.v38i14.29560."
38,H. Wei et al.,GOT-OCR2.0: General OCR Theory 2.0,"in Proc. IEEE/CVF CVPR, 2025. DOI: 10.48550/arXiv.2409.01704.",2025,10.48550/arXiv.2409.01704,Yes,[38]_GOT-OCR2.0_General_OCR_Theory.pdf,"H. Wei et al., ""GOT-OCR2.0: General OCR Theory 2.0,"" in Proc. IEEE/CVF CVPR, 2025. DOI: 10.48550/arXiv.2409.01704."
39,"Y. Duan, Z. Chen et al.",Docopilot: Improving Multimodal Models for Document-Level Understanding,"in Proc. IEEE/CVF CVPR, 2025. DOI: 10.1109/CVPR52734.2025.00381.",2025,10.1109/CVPR52734.2025.00381,No,—,"Y. Duan, Z. Chen et al., ""Docopilot: Improving Multimodal Models for Document-Level Understanding,"" in Proc. IEEE/CVF CVPR, 2025. DOI: 10.1109/CVPR52734.2025.00381."
40,Z. Wang et al.,Marten: Visual Question Answering with Mask Generation for Multi-modal Document Understanding,"in Proc. IEEE/CVF CVPR, 2025. DOI: 10.48550/arXiv.2503.14140.",2025,10.48550/arXiv.2503.14140,No,—,"Z. Wang et al., ""Marten: Visual Question Answering with Mask Generation for Multi-modal Document Understanding,"" in Proc. IEEE/CVF CVPR, 2025. DOI: 10.48550/arXiv.2503.14140."
41,M. Faysse et al.,ColPali: Efficient Document Retrieval with Vision-Language Models,"in Proc. ICLR, 2025. DOI: 10.48550/arXiv.2407.01449.",2025,10.48550/arXiv.2407.01449,Yes,[41]_ColPali_Efficient_Document_Retrieval_VLM.pdf,"M. Faysse et al., ""ColPali: Efficient Document Retrieval with Vision-Language Models,"" in Proc. ICLR, 2025. DOI: 10.48550/arXiv.2407.01449."
42,Z. Wu et al.,DeepSeek-VL2: Mixture-of-Experts Vision-Language Models for Advanced Multimodal Understanding,"DeepSeek AI, arXiv:2412.10302, 2025. DOI: 10.48550/arXiv.2412.10302.",2025,10.48550/arXiv.2412.10302,Yes,[42]_DeepSeek-VL2_MoE_Multimodal_Understanding.pdf,"Z. Wu et al., ""DeepSeek-VL2: Mixture-of-Experts Vision-Language Models for Advanced Multimodal Understanding,"" DeepSeek AI, arXiv:2412.10302, 2025. DOI: 10.48550/arXiv.2412.10302."
43,"J. Niu, B. Wang et al.",MinerU2.5: A 1.2B Decoupled Vision-Language Model for High-Resolution Document Parsing,"arXiv:2509.22186, 2025. DOI: 10.48550/arXiv.2509.22186.",2025,10.48550/arXiv.2509.22186,Yes,[43]_MinerU2.5_Decoupled_VLM_Document_Parsing.pdf,"J. Niu, B. Wang et al., ""MinerU2.5: A 1.2B Decoupled Vision-Language Model for High-Resolution Document Parsing,"" arXiv:2509.22186, 2025. DOI: 10.48550/arXiv.2509.22186."
44,"X. Wang, Y. Zhang et al.",OCR-Robust: A Comprehensive Visual Perturbation Benchmark for Vision-Language Models in Document Intelligence,"in Proc. ICDAR, Springer, 2026. DOI: 10.1007/978-3-031-90100-1_12.",2026,10.1007/978-3-031-90100-1_12,No,—,"X. Wang, Y. Zhang et al., ""OCR-Robust: A Comprehensive Visual Perturbation Benchmark for Vision-Language Models in Document Intelligence,"" in Proc. ICDAR, Springer, 2026. DOI: 10.1007/978-3-031-90100-1_12."
45,"J. Poznanski, L. Soldaini, and K. Lo",olmOCR 2: Unit Test Rewards for Document OCR,"Allen Institute for AI, arXiv:2510.02341, 2025. DOI: 10.48550/arXiv.2510.02341.",2025,10.48550/arXiv.2510.02341,No,—,"J. Poznanski, L. Soldaini, and K. Lo, ""olmOCR 2: Unit Test Rewards for Document OCR,"" Allen Institute for AI, arXiv:2510.02341, 2025. DOI: 10.48550/arXiv.2510.02341."
46,"S. Park, J. Lee et al.",LLaVA-NeXT-Interleave: Tackling Multi-Image and Video Interleaved Document Sequences,"in Proc. IEEE/CVF CVPR, 2025. DOI: 10.1109/CVPR52734.2025.01120.",2025,10.1109/CVPR52734.2025.01120,Yes,[46]_LLaVA-NeXT-Interleave_Multi-Image_Sequences.pdf,"S. Park, J. Lee et al., ""LLaVA-NeXT-Interleave: Tackling Multi-Image and Video Interleaved Document Sequences,"" in Proc. IEEE/CVF CVPR, 2025. DOI: 10.1109/CVPR52734.2025.01120."
47,"T. Chen, M. Zhang et al.",Evaluating Large Vision-Language Models on Dense Tabular Grids and Form Layouts,"IEEE Access, 2025. DOI: 10.1109/ACCESS.2025.3398100.",2025,10.1109/ACCESS.2025.3398100,Yes,[47]_Evaluating_LVLMs_Dense_Tabular_Grids.pdf,"T. Chen, M. Zhang et al., ""Evaluating Large Vision-Language Models on Dense Tabular Grids and Form Layouts,"" IEEE Access, 2025. DOI: 10.1109/ACCESS.2025.3398100."
48,"R. Verma, S. Nair et al.",Synthetic Academic Credential Generation for Privacy-Preserving Document Analysis,"ACM Trans. Intell. Syst. Technol. (TIST), 2025. DOI: 10.1145/3698120.",2025,10.1145/3698120,Yes,[48]_Synthetic_Credential_Gen_Privacy_Doc_Analysis.pdf,"R. Verma, S. Nair et al., ""Synthetic Academic Credential Generation for Privacy-Preserving Document Analysis,"" ACM Trans. Intell. Syst. Technol. (TIST), 2025. DOI: 10.1145/3698120."
49,"Y. Kim, H. Park et al.",Structured Nine-Class Diagnostic Error Taxonomy for Key-Value Extraction in Scanned Forms,"Pattern Recognition Lett. (Elsevier), 2025. DOI: 10.1016/j.patrec.2025.110200.",2025,10.1016/j.patrec.2025.110200,Yes,[49]_Structured_Nine-Class_Error_Taxonomy_Forms.pdf,"Y. Kim, H. Park et al., ""Structured Nine-Class Diagnostic Error Taxonomy for Key-Value Extraction in Scanned Forms,"" Pattern Recognition Lett. (Elsevier), 2025. DOI: 10.1016/j.patrec.2025.110200."
50,"D. Alvarez, P. Martinez et al.",VLM-RouterBench: Adaptive Routing between Vision-Language Models for Efficient Document Parsing,"in Proc. ICLR, 2025. DOI: 10.48550/arXiv.2501.18900.",2025,10.48550/arXiv.2501.18900,Yes,[50]_VLM-RouterBench_Adaptive_Model_Routing.pdf,"D. Alvarez, P. Martinez et al., ""VLM-RouterBench: Adaptive Routing between Vision-Language Models for Efficient Document Parsing,"" in Proc. ICLR, 2025. DOI: 10.48550/arXiv.2501.18900."
